Domain,Area,Element,Item,Year,Value
"Emissions intensities","Equatorial Guinea","Emissions intensity","Meat of goat, fresh or chilled","2021","46.9501"
"Emissions intensities","Equatorial Guinea","Emissions intensity","Meat of sheep, fresh or chilled","2021","84.2848"
"Emissions intensities","Equatorial Guinea","Emissions intensity","Meat of chickens, fresh or chilled","2021","4.8166"
"Emissions intensities","Equatorial Guinea","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","10.4074"
"Emissions intensities","Eritrea","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","74.7382"
"Emissions intensities","Eritrea","Emissions intensity","Meat of goat, fresh or chilled","2021","63.8079"
"Emissions intensities","Eritrea","Emissions intensity","Meat of sheep, fresh or chilled","2021","71.4562"
"Emissions intensities","Eritrea","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.2064"
"Emissions intensities","Estonia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","36.7626"
"Emissions intensities","Estonia","Emissions intensity","Meat of goat, fresh or chilled","2021","10.075"
"Emissions intensities","Estonia","Emissions intensity","Meat of sheep, fresh or chilled","2021","43.7765"
"Emissions intensities","Estonia","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2235"
"Emissions intensities","Estonia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.021"
"Emissions intensities","Eswatini","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","36.7844"
"Emissions intensities","Eswatini","Emissions intensity","Meat of goat, fresh or chilled","2021","36.984"
"Emissions intensities","Eswatini","Emissions intensity","Meat of sheep, fresh or chilled","2021","11.4944"
"Emissions intensities","Eswatini","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.5296"
"Emissions intensities","Eswatini","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.5748"
"Emissions intensities","Ethiopia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","166.7687"
"Emissions intensities","Ethiopia","Emissions intensity","Meat of goat, fresh or chilled","2021","69.6812"
"Emissions intensities","Ethiopia","Emissions intensity","Meat of sheep, fresh or chilled","2021","54.6286"
"Emissions intensities","Ethiopia","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.7984"
"Emissions intensities","Ethiopia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","4.2224"
"Emissions intensities","Faroe Islands","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","30.2279"
"Emissions intensities","Faroe Islands","Emissions intensity","Meat of sheep, fresh or chilled","2021","41.3677"
"Emissions intensities","Fiji","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","15.6055"
"Emissions intensities","Fiji","Emissions intensity","Meat of goat, fresh or chilled","2021","338.8173"
"Emissions intensities","Fiji","Emissions intensity","Meat of sheep, fresh or chilled","2021","46.7148"
"Emissions intensities","Fiji","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.6898"
"Emissions intensities","Fiji","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","18.5351"
"Emissions intensities","Finland","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","14.7573"
"Emissions intensities","Finland","Emissions intensity","Meat of sheep, fresh or chilled","2021","32.1359"
"Emissions intensities","Finland","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.1082"
"Emissions intensities","Finland","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.7995"
"Emissions intensities","France","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","21.6805"
"Emissions intensities","France","Emissions intensity","Meat of goat, fresh or chilled","2021","8.6323"
"Emissions intensities","France","Emissions intensity","Meat of sheep, fresh or chilled","2021","21.4982"
"Emissions intensities","France","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.5334"
"Emissions intensities","France","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.7102"
"Emissions intensities","French Polynesia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","81.2892"
"Emissions intensities","French Polynesia","Emissions intensity","Meat of goat, fresh or chilled","2021","54.7573"
"Emissions intensities","French Polynesia","Emissions intensity","Meat of sheep, fresh or chilled","2021","31.1872"
"Emissions intensities","French Polynesia","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.0171"
"Emissions intensities","French Polynesia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","17.2153"
"Emissions intensities","Gabon","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","33.6317"
"Emissions intensities","Gabon","Emissions intensity","Meat of goat, fresh or chilled","2021","78.5323"
"Emissions intensities","Gabon","Emissions intensity","Meat of sheep, fresh or chilled","2021","57.5115"
"Emissions intensities","Gabon","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.6357"
"Emissions intensities","Gabon","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","16.0396"
"Emissions intensities","Gambia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","121.8814"
"Emissions intensities","Gambia","Emissions intensity","Meat of goat, fresh or chilled","2021","88.9249"
"Emissions intensities","Gambia","Emissions intensity","Meat of sheep, fresh or chilled","2021","44.157"
"Emissions intensities","Gambia","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.7042"
"Emissions intensities","Gambia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","7.2351"
"Emissions intensities","Georgia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","31.4486"
"Emissions intensities","Georgia","Emissions intensity","Meat of sheep, fresh or chilled","2021","36.6578"
"Emissions intensities","Georgia","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.0008"
"Emissions intensities","Georgia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.7849"
"Emissions intensities","Germany","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","14.602"
"Emissions intensities","Germany","Emissions intensity","Meat of goat, fresh or chilled","2021","66.7858"
"Emissions intensities","Germany","Emissions intensity","Meat of sheep, fresh or chilled","2021","14.4867"
"Emissions intensities","Germany","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3769"
"Emissions intensities","Germany","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.3848"
"Emissions intensities","Ghana","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","77.9162"
"Emissions intensities","Ghana","Emissions intensity","Meat of goat, fresh or chilled","2021","63.786"
"Emissions intensities","Ghana","Emissions intensity","Meat of sheep, fresh or chilled","2021","48.8549"
"Emissions intensities","Ghana","Emissions intensity","Meat of chickens, fresh or chilled","2021","4.296"
"Emissions intensities","Ghana","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","7.8736"
"Emissions intensities","Greece","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","32.6736"
"Emissions intensities","Greece","Emissions intensity","Meat of goat, fresh or chilled","2021","8.8596"
"Emissions intensities","Greece","Emissions intensity","Meat of buffalo, fresh or chilled","2021","12.0139"
"Emissions intensities","Greece","Emissions intensity","Meat of sheep, fresh or chilled","2021","9.5426"
"Emissions intensities","Greece","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4481"
"Emissions intensities","Greece","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.3715"
"Emissions intensities","Grenada","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","56.4583"
"Emissions intensities","Grenada","Emissions intensity","Meat of goat, fresh or chilled","2021","59.544"
"Emissions intensities","Grenada","Emissions intensity","Meat of sheep, fresh or chilled","2021","26.278"
"Emissions intensities","Grenada","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.7235"
"Emissions intensities","Guatemala","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","31.5026"
"Emissions intensities","Guatemala","Emissions intensity","Meat of goat, fresh or chilled","2021","108.1172"
"Emissions intensities","Guatemala","Emissions intensity","Meat of sheep, fresh or chilled","2021","61.6977"
"Emissions intensities","Guatemala","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2302"
"Emissions intensities","Guatemala","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","16.5116"
"Emissions intensities","Guinea","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","101.3869"
"Emissions intensities","Guinea","Emissions intensity","Meat of goat, fresh or chilled","2021","48.021"
"Emissions intensities","Guinea","Emissions intensity","Meat of sheep, fresh or chilled","2021","60.2013"
"Emissions intensities","Guinea","Emissions intensity","Meat of chickens, fresh or chilled","2021","8.4815"
"Emissions intensities","Guinea","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","5.4523"
"Emissions intensities","Guinea-Bissau","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","106.3928"
"Emissions intensities","Guinea-Bissau","Emissions intensity","Meat of goat, fresh or chilled","2021","163.1769"
"Emissions intensities","Guinea-Bissau","Emissions intensity","Meat of sheep, fresh or chilled","2021","67.5545"
"Emissions intensities","Guinea-Bissau","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.4494"
"Emissions intensities","Guinea-Bissau","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","8.8432"
"Emissions intensities","Guyana","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","58.6975"
"Emissions intensities","Guyana","Emissions intensity","Meat of goat, fresh or chilled","2021","71.5755"
"Emissions intensities","Guyana","Emissions intensity","Meat of sheep, fresh or chilled","2021","50.8305"
"Emissions intensities","Guyana","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.2723"
"Emissions intensities","Guyana","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.8665"
"Emissions intensities","Haiti","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","53.9687"
"Emissions intensities","Haiti","Emissions intensity","Meat of goat, fresh or chilled","2021","54.2728"
"Emissions intensities","Haiti","Emissions intensity","Meat of sheep, fresh or chilled","2021","34.8452"
"Emissions intensities","Haiti","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.3076"
"Emissions intensities","Haiti","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.7716"
"Emissions intensities","Honduras","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","72.8139"
"Emissions intensities","Honduras","Emissions intensity","Meat of goat, fresh or chilled","2021","37.8514"
"Emissions intensities","Honduras","Emissions intensity","Meat of sheep, fresh or chilled","2021","35.6071"
"Emissions intensities","Honduras","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.7383"
"Emissions intensities","Honduras","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","10.2287"
"Emissions intensities","Hungary","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","45.9963"
"Emissions intensities","Hungary","Emissions intensity","Meat of goat, fresh or chilled","2021","32.9386"
"Emissions intensities","Hungary","Emissions intensity","Meat of sheep, fresh or chilled","2021","227.5234"
"Emissions intensities","Hungary","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.1346"
"Emissions intensities","Hungary","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.2216"
"Emissions intensities","Iceland","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","24.157"
"Emissions intensities","Iceland","Emissions intensity","Meat of sheep, fresh or chilled","2021","13.276"
"Emissions intensities","Iceland","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.0128"
"Emissions intensities","Iceland","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.1447"
"Emissions intensities","India","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","29.2182"
"Emissions intensities","India","Emissions intensity","Meat of goat, fresh or chilled","2021","49.8714"
"Emissions intensities","India","Emissions intensity","Meat of buffalo, fresh or chilled","2021","77.8838"
"Emissions intensities","India","Emissions intensity","Meat of sheep, fresh or chilled","2021","51.5882"
"Emissions intensities","India","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2536"
"Emissions intensities","India","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","5.7751"
"Emissions intensities","Indonesia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","71.5254"
"Emissions intensities","Indonesia","Emissions intensity","Meat of goat, fresh or chilled","2021","44.8719"
"Emissions intensities","Indonesia","Emissions intensity","Meat of buffalo, fresh or chilled","2021","105.5966"
"Emissions intensities","Indonesia","Emissions intensity","Meat of sheep, fresh or chilled","2021","45.822"
"Emissions intensities","Indonesia","Emissions intensity","Meat of chickens, fresh or chilled","2021","3.0409"
"Emissions intensities","Indonesia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","5.9575"
"Emissions intensities","Iran (Islamic Republic of)","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","9.1416"
"Emissions intensities","Iran (Islamic Republic of)","Emissions intensity","Meat of goat, fresh or chilled","2021","65.9443"
"Emissions intensities","Iran (Islamic Republic of)","Emissions intensity","Meat of buffalo, fresh or chilled","2021","33.6817"
"Emissions intensities","Iran (Islamic Republic of)","Emissions intensity","Meat of sheep, fresh or chilled","2021","28.0719"
"Emissions intensities","Iran (Islamic Republic of)","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.8529"
"Emissions intensities","Iraq","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","63.9979"
"Emissions intensities","Iraq","Emissions intensity","Meat of goat, fresh or chilled","2021","13.1425"
"Emissions intensities","Iraq","Emissions intensity","Meat of buffalo, fresh or chilled","2021","59.7974"
"Emissions intensities","Iraq","Emissions intensity","Meat of sheep, fresh or chilled","2021","16.0106"
"Emissions intensities","Iraq","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.9371"
"Emissions intensities","Ireland","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","18.9408"
"Emissions intensities","Ireland","Emissions intensity","Meat of sheep, fresh or chilled","2021","20.3596"
"Emissions intensities","Ireland","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2753"
"Emissions intensities","Ireland","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.4813"
"Emissions intensities","Israel","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","3.9829"
"Emissions intensities","Israel","Emissions intensity","Meat of goat, fresh or chilled","2021","1.8326"
"Emissions intensities","Israel","Emissions intensity","Meat of sheep, fresh or chilled","2021","1.5563"
"Emissions intensities","Israel","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2733"
"Emissions intensities","Israel","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.551"
"Emissions intensities","Italy","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","13.1927"
"Emissions intensities","Italy","Emissions intensity","Meat of goat, fresh or chilled","2021","26.475"
"Emissions intensities","Italy","Emissions intensity","Meat of buffalo, fresh or chilled","2021","16.9191"
"Emissions intensities","Italy","Emissions intensity","Meat of sheep, fresh or chilled","2021","23.4814"
"Emissions intensities","Italy","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2525"
"Emissions intensities","Italy","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.9803"
"Emissions intensities","Jamaica","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","46.4318"
"Emissions intensities","Jamaica","Emissions intensity","Meat of goat, fresh or chilled","2021","17.3381"
"Emissions intensities","Jamaica","Emissions intensity","Meat of sheep, fresh or chilled","2021","56.8585"
"Emissions intensities","Jamaica","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4025"
"Emissions intensities","Jamaica","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.6967"
"Emissions intensities","Japan","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","11.6651"
"Emissions intensities","Japan","Emissions intensity","Meat of goat, fresh or chilled","2021","117.9763"
"Emissions intensities","Japan","Emissions intensity","Meat of sheep, fresh or chilled","2021","25.6037"
"Emissions intensities","Japan","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2814"
"Emissions intensities","Japan","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.0056"
"Emissions intensities","Jordan","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","0.9484"
"Emissions intensities","Jordan","Emissions intensity","Meat of goat, fresh or chilled","2021","10.1023"
"Emissions intensities","Jordan","Emissions intensity","Meat of sheep, fresh or chilled","2021","6.4495"
"Emissions intensities","Jordan","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.5339"
"Emissions intensities","Kazakhstan","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","18.419"
"Emissions intensities","Kazakhstan","Emissions intensity","Meat of goat, fresh or chilled","2021","26.1479"
"Emissions intensities","Kazakhstan","Emissions intensity","Meat of sheep, fresh or chilled","2021","25.4636"
"Emissions intensities","Kazakhstan","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2746"
"Emissions intensities","Kazakhstan","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.1926"
"Emissions intensities","Kenya","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","91.8962"
"Emissions intensities","Kenya","Emissions intensity","Meat of goat, fresh or chilled","2021","92.0399"
"Emissions intensities","Kenya","Emissions intensity","Meat of sheep, fresh or chilled","2021","98.0065"
"Emissions intensities","Kenya","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.707"
"Emissions intensities","Kenya","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","7.4827"
"Emissions intensities","Kiribati","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.9435"
"Emissions intensities","Kiribati","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.9913"
"Emissions intensities","Kuwait","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","12.6123"
"Emissions intensities","Kuwait","Emissions intensity","Meat of goat, fresh or chilled","2021","39.9358"
"Emissions intensities","Kuwait","Emissions intensity","Meat of sheep, fresh or chilled","2021","3.0951"
"Emissions intensities","Kuwait","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.9696"
"Emissions intensities","Kyrgyzstan","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","14.4251"
"Emissions intensities","Kyrgyzstan","Emissions intensity","Meat of goat, fresh or chilled","2021","11.5969"
"Emissions intensities","Kyrgyzstan","Emissions intensity","Meat of sheep, fresh or chilled","2021","17.0065"
"Emissions intensities","Kyrgyzstan","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","0.3556"
"Emissions intensities","Lao People's Democratic Republic","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","100.6607"
"Emissions intensities","Lao People's Democratic Republic","Emissions intensity","Meat of goat, fresh or chilled","2021","59.2278"
"Emissions intensities","Lao People's Democratic Republic","Emissions intensity","Meat of buffalo, fresh or chilled","2021","118.5071"
"Emissions intensities","Lao People's Democratic Republic","Emissions intensity","Meat of chickens, fresh or chilled","2021","4.573"
"Emissions intensities","Lao People's Democratic Republic","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","9.357"
"Emissions intensities","Latvia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","33.6924"
"Emissions intensities","Latvia","Emissions intensity","Meat of goat, fresh or chilled","2021","17.4802"
"Emissions intensities","Latvia","Emissions intensity","Meat of sheep, fresh or chilled","2021","36.5224"
"Emissions intensities","Latvia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.503"
"Emissions intensities","Lebanon","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","1.0457"
"Emissions intensities","Lebanon","Emissions intensity","Meat of goat, fresh or chilled","2021","24.8003"
"Emissions intensities","Lebanon","Emissions intensity","Meat of sheep, fresh or chilled","2021","8.9783"
"Emissions intensities","Lebanon","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.1512"
"Emissions intensities","Lebanon","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.6001"
"Emissions intensities","Lesotho","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","206.6843"
"Emissions intensities","Lesotho","Emissions intensity","Meat of goat, fresh or chilled","2021","744.5602"
"Emissions intensities","Lesotho","Emissions intensity","Meat of sheep, fresh or chilled","2021","576.5831"
"Emissions intensities","Lesotho","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3716"
"Emissions intensities","Lesotho","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","12.6592"
"Emissions intensities","Liberia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","40.2721"
"Emissions intensities","Liberia","Emissions intensity","Meat of goat, fresh or chilled","2021","76.4692"
"Emissions intensities","Liberia","Emissions intensity","Meat of sheep, fresh or chilled","2021","67.6574"
"Emissions intensities","Liberia","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.0044"
"Emissions intensities","Liberia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","7.1294"
"Emissions intensities","Libya","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","17.8344"
"Emissions intensities","Libya","Emissions intensity","Meat of goat, fresh or chilled","2021","41.7275"
"Emissions intensities","Libya","Emissions intensity","Meat of sheep, fresh or chilled","2021","39.7993"
"Emissions intensities","Libya","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.8454"
"Emissions intensities","Lithuania","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","19.3956"
"Emissions intensities","Lithuania","Emissions intensity","Meat of goat, fresh or chilled","2021","30.2251"
"Emissions intensities","Lithuania","Emissions intensity","Meat of sheep, fresh or chilled","2021","41.0149"
"Emissions intensities","Lithuania","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.1889"
"Emissions intensities","Lithuania","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.0986"
"Emissions intensities","Luxembourg","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","27.4156"
"Emissions intensities","Luxembourg","Emissions intensity","Meat of sheep, fresh or chilled","2021","33.5891"
"Emissions intensities","Luxembourg","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.8082"
"Emissions intensities","Madagascar","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","269.7953"
"Emissions intensities","Madagascar","Emissions intensity","Meat of goat, fresh or chilled","2021","107.1057"
"Emissions intensities","Madagascar","Emissions intensity","Meat of sheep, fresh or chilled","2021","142.2701"
"Emissions intensities","Madagascar","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.9879"
"Emissions intensities","Madagascar","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","16.6517"
"Emissions intensities","Malawi","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","40.7531"
"Emissions intensities","Malawi","Emissions intensity","Meat of goat, fresh or chilled","2021","34.4013"
"Emissions intensities","Malawi","Emissions intensity","Meat of sheep, fresh or chilled","2021","35.2274"
"Emissions intensities","Malawi","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.5263"
"Emissions intensities","Malawi","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.4171"
"Emissions intensities","Malaysia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","34.0948"
"Emissions intensities","Malaysia","Emissions intensity","Meat of goat, fresh or chilled","2021","46.2821"
"Emissions intensities","Malaysia","Emissions intensity","Meat of buffalo, fresh or chilled","2021","20.542"
"Emissions intensities","Malaysia","Emissions intensity","Meat of sheep, fresh or chilled","2021","14.1492"
"Emissions intensities","Malaysia","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4761"
"Emissions intensities","Malaysia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.0401"
"Emissions intensities","Mali","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","250.0353"
"Emissions intensities","Mali","Emissions intensity","Meat of goat, fresh or chilled","2021","144.5849"
"Emissions intensities","Mali","Emissions intensity","Meat of sheep, fresh or chilled","2021","160.5682"
"Emissions intensities","Mali","Emissions intensity","Meat of chickens, fresh or chilled","2021","3.2952"
"Emissions intensities","Mali","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","36.7257"
"Emissions intensities","Malta","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","18.6141"
"Emissions intensities","Malta","Emissions intensity","Meat of goat, fresh or chilled","2021","13.1995"
"Emissions intensities","Malta","Emissions intensity","Meat of sheep, fresh or chilled","2021","2.7391"
"Emissions intensities","Malta","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.5284"
"Emissions intensities","Malta","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.7048"
"Emissions intensities","Mauritania","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","62.9211"
"Emissions intensities","Mauritania","Emissions intensity","Meat of goat, fresh or chilled","2021","69.68"
"Emissions intensities","Mauritania","Emissions intensity","Meat of sheep, fresh or chilled","2021","48.8951"
"Emissions intensities","Mauritania","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.8563"
"Emissions intensities","Mauritius","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","1.1671"
"Emissions intensities","Mauritius","Emissions intensity","Meat of goat, fresh or chilled","2021","365.1184"
"Emissions intensities","Mauritius","Emissions intensity","Meat of sheep, fresh or chilled","2021","45.5976"
"Emissions intensities","Mauritius","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.2585"
"Emissions intensities","Mauritius","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","8.1622"
"Emissions intensities","Mexico","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","31.3099"
"Emissions intensities","Mexico","Emissions intensity","Meat of goat, fresh or chilled","2021","46.39"
"Emissions intensities","Mexico","Emissions intensity","Meat of sheep, fresh or chilled","2021","23.7825"
"Emissions intensities","Mexico","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4043"
"Emissions intensities","Mexico","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.3681"
"Emissions intensities","Micronesia (Federated States of)","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","131.7336"
"Emissions intensities","Micronesia (Federated States of)","Emissions intensity","Meat of goat, fresh or chilled","2021","84.7862"
"Emissions intensities","Micronesia (Federated States of)","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.1288"
"Emissions intensities","Micronesia (Federated States of)","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","17.3413"
"Emissions intensities","Mongolia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","60.0642"
"Emissions intensities","Mongolia","Emissions intensity","Meat of goat, fresh or chilled","2021","51.2646"
"Emissions intensities","Mongolia","Emissions intensity","Meat of sheep, fresh or chilled","2021","36.5606"
"Emissions intensities","Mongolia","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.9734"
"Emissions intensities","Mongolia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","15.5778"
"Emissions intensities","Montenegro","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","15.7448"
"Emissions intensities","Montenegro","Emissions intensity","Meat of goat, fresh or chilled","2021","24.7614"
"Emissions intensities","Montenegro","Emissions intensity","Meat of sheep, fresh or chilled","2021","28.0208"
"Emissions intensities","Montenegro","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.067"
"Emissions intensities","Montenegro","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.6665"
"Emissions intensities","Morocco","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","6.8838"
"Emissions intensities","Morocco","Emissions intensity","Meat of goat, fresh or chilled","2021","34.4912"
"Emissions intensities","Morocco","Emissions intensity","Meat of sheep, fresh or chilled","2021","26.2017"
"Emissions intensities","Morocco","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.1497"
"Emissions intensities","Morocco","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.2442"
"Emissions intensities","Mozambique","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","89.6829"
"Emissions intensities","Mozambique","Emissions intensity","Meat of goat, fresh or chilled","2021","379.2447"
