Vegan,Ingredients,Preparation,Meat
Vegan Chicken Summer Tortillas,"
Ingredients
Chick’n Fillets
1 Box Fry’s Chick’n Fillets
Dried mixed herbs
Smoked Paprika
Drizzle of olive oil
Salsa
250 g baby tomatoes
¼ red onion
2 Tbsp (30 ml) red wine vinegar
1 Tbsp (30 ml) lime juice
¼ tsp garlic powder
Salt and pepper
Avo Smash
2 avocados, peeled and flesh scooped out
1 tsp (5 ml) paprika
½ tsp (2,5 ml) ground cumin
Juice and zest of 1 lemon
Salt and pepper
Chipotle Mayo Drizzle
½ Cup (125 ml) vegan mayo
1 tsp (5 ml) dried chipotle spice (alternatively use smoked paprika or a few drops of your favourite hot sauce.)
Other
1 packet flour tortillas
1 red onion, thinly sliced
1 red pepper, thinly sliced
1 yellow pepper, thinly sliced
Handful of fresh coriander, cleaned and roughly chopped
Handful of sweet, red piquante peppers, thinly sliced
1 lime
","
Method
Chick’n Fillets
Combine herbs and paprika with the olive oil. Brush lightly over the fillets and cook as per packet instructions. Once cooked, slice thinly. Set aside.
Salsa
Place tomatoes, red onion, red wine vinegar, lime juice and seasoning into a food processor. Pulse to lightly chop/combine. Don’t over process. The tomatoes should contain some of their shape. You can also do this by hand by finely chopping the tomatoes and red onion and combining with the other ingredients. Set aside.
Avo Smash
Scoop the two avos out into a bowl. Add the spices, seasoning, lemon juice and zest and roughly mash with a fork. Set aside.
Chipotle Mayo Drizzle
Combine the mayo and chipotle spice and mix to combine.
To assemble:
1. Warm the tortillas according to packet instructions.
2. Assemble with a few slices of fillet, red onion, red/yellow and piquante peppers, and fresh coriander.
3. Top with some salsa, avo and a drizzle of lime juice.
4. Wrap tightly and enjoy!
Tip: for some added heat, why not add some finely chopped red chillies. You can enjoy these sprinkled on top of your filling or added to your salsa.
",Chicken
Breaded Chicken Skewers & Vegan Honey BBQ Sauce,"
Ingredients
2 packs Like Meat Breaded Chicken (180g x 2)
Vegan honey BBQ sauce (recipe below)
Vegetables of choice, for example red pepper, red onion, courgette and baby tomatoes.
Vegan Honey BBQ Sauce:
200g ketchup
100g vegan honey, alternatively use agave or maple syrup
50g cider vinegar
3 tsp brown sugar
1 tsp liquid smoke
1 tsp paprika
½ tsp chilli powder
1 tsp onion powder
¾ tsp garlic powder
½ tsp salt
½ tsp ground black pepper
A little vegetable oil
","
Method
Defrost the Like Breaded Chicken fillets.
Make the Vegan Honey BBQ Sauce:
Measure out ketchup, honey, vinegar and brown sugar into a small saucepan and heat gently, stirring until smooth. Stir the liquid smoke and the rest of the ingredients into the ketchup mixture, reduce heat to low, and simmer until thickened, about 20 minutes.
While the sauce is simmering, chop your veggies chunkily. Toss in a little oil to coat.
Carefully cut each Like Breaded Chicken fillet into 5-6 pieces with a sharp knife and place in a large bowl/tub.
When the Vegan Honey BBQ Sauce is ready, drizzle it over the Like Breaded Chicken pieces and stir gently to ensure they’re evenly coated.
Thread veggies and the sauce coated Like Breaded Chicken pieced onto skewers. (If using wooden skewers, wet them first to avoid them burning when grilling.)
Cook skewers on the barbecue for around 20 mins until piping hot, turning regularly, and veggies are nicely charred round the edges.
If the weather is not right for a barbecue, you can cook the dish in an oven proof tray in the middle of the oven, pre-heated to 200°c.
Serve the Like Breaded Chicken skewers with a fresh summer salad and boiled new potatoes, tossed in plant based butter and topped with chopped fresh chives.
Recipe & photo: Rachel Clarke @myvegandiary87 
 
",Chicken
THIS Butter Chicken,"
Ingredients

1 Pack THIS isn’t Chicken
2 tbsp Vegan Yoghurt
1 tbsp peeled ginger, finely chopped
1 tbsp cloves of garlic, finely chopped
1 tbsp Lemon Juice
1 tsp Oil
1 tsp Salt
5 tsp Butter Chicken spice blend

For the THIS isn’t Butter Chicken Sauce:

2 Tbsp Vegan Butter
1 Medium Onion, chopped
3 tsp Fresh Garlic, chopped
3 tsp Fresh Ginger, chopped
5 tsp Butter Chicken spice blend
1 Tin Chopped Tomatoes
4 tsp Brown Sugar
1 ½ tsp Salt
50ml Plant Based Milk
50ml Water
100ml Vegan Cream
¼ tsp Garam Masala
1 tbsp Fresh Coriander Leaves, chopped for garnishing

","
Method
Step One: marinade THIS Isn’t Chicken
1. In a bowl mix all the chicken tikka marinade ingredients together. Add the THIS chicken and stir to coat well. Leave covered in the fridge for 30 minutes so the chicken soak up the marinade.
2. Grab a skillet and drizzle some oil in the bottom of the pan, fry the marinated chicken pieces for 5 minutes until they start to change colour and brown.
Step Two: Butter Chicken Sauce 
1. Melt 1 tbsp of the vegan butter in a large pan on a medium heat, add the chopped onions, ginger and garlic. Cook for approximately 8-9 minutes until onions are soft and translucent. Add the Butter Chicken Blend and stir for a few seconds.
2. Add the tinned tomatoes, sugar, salt, plant-based milk and water, then stir until mixed well together. Cover and cook on a medium heat for 10 mins. Remove the pan from the heat and place the mixture into a blender or food processor until it forms a smooth curry texture.
3. Add the THIS isn’t chicken pieces into the sauce, stir and cook for a further 3-4 mins on medium heat until the chicken is heated through. Add the cream, remaining Tbsp of butter, and the Garam Masala. Stir and cook for a further 2 mins. Serve with a sprinkle of chopped coriander.
",Chicken
Chicken and Leek Pie,"
Ingredients

2 vegan shortcrust pastry sheets – Jus Rol
3 leeks
1 pack of vegan Quorn chicken pieces
1 carton of Alpro soy cream
A few potatoes
Vegan Flora/spread
Wholegrain mustard
Salt and pepper

","
Method

Line an oven proof dish with one of the pastry sheets
Boil and mash the potatoes with plenty of Flora, salt, pepper and 2 teaspoons of mustard
Chop and boil the leeks then drain, pour in the carton of cream and simmer with a couple of dessert spoons of Flora and salt and pepper
Pan fry the chicken pieces in Flora until defrosted, then stir them into the creamy leek mixture
Into the dish with the pastry pour the leek and chicken mixture, then on top put a layer of the mash
Cover with the second pastry sheet and, if you have a bit of pastry left over, get creative with a design for the top of your pie!
Brush a bit of oil over the top so it browns nicely
Bake at about 180 for 45 minutes

 
",Chicken
Cauliflower ‘Chicken’ Keralan Curry,"
Ingredients
½ cauliflower, cut into florets
1 aubergine, cut into chunks
2 tbsp olive or vegetable oil
1 large onion
3 tbsp Keralan curry paste
1 tsp turmeric
160g Garden Gourmet Mediterranean Fillet Pieces (or similar)
3 tbsp desiccated coconut
400ml Wunda Unsweetened (or similar)
400g can drained chickpeas
Large handful cherry tomatoes
1 lime, juiced
Handful coriander leaves
Steamed basmati rice, to serve
","
Method
1. Heat oven to 200˚C, (180˚C for fan ovens), gas mark 6.
2. Coat the cauliflower and aubergine in 1tbsp of the oil and tip out onto a baking sheet. Roast for 20 minutes, turning the veg halfway through cooking, until everything is golden and tender.
3. Soften the onion in the remaining oil in a large saucepan. Stir in the curry paste and turmeric to the saucepan and cook for a couple of minutes until fragrant. Tip in the Garden Gourmet fillet pieces and fry for 2-3 minutes. Add the desiccated coconut, Wunda, chickpeas, cauliflower and aubergine to the saucepan and bring to the boil. Turn off the heat and stir through the tomatoes.
4. Add the lime juice, coriander and season to taste before spooning the curry over the freshly cooked rice and then dive in!
Did you like this dish? Try this vegan chicken-style curry recipe.
",Chicken
Cheatin’ Chicken Sandwich,"
Ingredients
2-3 vegan chicken slices (or any mock meat of your choice)
2 slices of bread
Vegan spread (like Pure or Vitalite) or a squeeze of vegan mayo
Crunchy salad mix (chopped cucumber, grated carrot, chopped red pepper, finely chopped red onion)
","
Method

Assemble sandwich
Eat!

",Chicken
Fully Loaded Chicken Style Country Pie with Pomegranate & Quinoa Salad,"
Ingredients

1 Fry’s Fully Loaded Chicken Style Country Pie
1/3 cup red quinoa
1/3 cup cous cous
1/3 cup peas
1 -2 tbsp pomegranate seeds
A small handful of basil, roughly chopped (feel free to include your favoruite herbs like parsley and mint)
Juice from 1 lemon

","
Method

Cook the quinoa, cous cous and peas, following pack instructions. Drain well and spread over a platter or wide, shallow bowl to cool quickly.
When the quinoa, cous cous and peas are cool, stir through all of the remaining ingredients with plenty of seasoning.
Heat up the Pie so that it is warmed through. Serve the salad with the Pie and enjoy!

",Chicken
Vegan Chicken Fried Rice,"
Ingredients
Chicken:
100g Planted chicken
1/4 tsp Cayenne pepper
1/2 tsp Salt
1/4 tsp Tumeric
1/2 tsp Garlic granulate
1 tsp Ginger
2 tbsp Sunflower oil
Fried Rice:
100g Wild rice
60g/ 1pcs Carrots
80g/2pcs Spring onions
80g/10 pcs Shimeji mushroom
2 pcs yellow pepperoncini
2 tbsp Sunflower oil
¼ bunch Coriander
1tbsp Roasted Sesame
1 pcs Lime
Sambal sauce:
80g/4 tbsp Soy sauce
25g/2 tbsp Sambal sauce
20g/1 pcs Lime juice
10g Ginger (fresh and chopped)
120g/ 6 tbsp soy sauce
1 tsp Corn starch
","
Method
1. Cook the wild rice in salted boiling water for about 16 minutes, Drain the rice
2. Fluff the rice with a fork. Transfer to a small baking sheet and spread out in a thin layer to cool to room temperature. Meanwhile, prepare the other ingredients.
3. Marinate the chicken with salt, cayenne pepper, turmeric, garlic granulate, fresh chopped ginger and sunflower oil for 30 minutes.
4. In a saucepan put part of the soy sauce with the corn-starch diluted with water, bring to the boil then add the sambal sauce, the second part of the soy sauce, the lime juice and chop the fresh ginger
5. Cut the carrots into thin strips. Finely chop the white of the onion, thinly slice the green part, washed the shimeji mushrooms
6. In a hot pan with a drizzle of sunflower oil , brown the carrots and shimeji mushrooms for a few minutes, add the sliced white onions and fresh ginger. Reserve the sautéed vegetable mixture
7. In a frying pan with a little oil add the rice and fry it on low power for 15 minutes, to slowly evacuate the humidity, increase the power to obtain a little crispiness and caramelisation on the surface.
8. Add to rice the mixed vegetables and 3 tablespoons of sambal sauce, mix and fry it over medium heat for about 10 minutes, stirring regularly
9. In another skillet with a little oil, brown the marinated chicken pieces with the small yellow pepperoncini. Cook 2 minutes on each side until nicely browned and add the rice mixture to the chicken
10. Fry the mixture for a few minutes, add 2/3 tablespoons of sambal sauce mix and sprinkle with chopped fresh cilantro, roasted sesame seeds, lime zest and juice
",Chicken
"Persian Chicken with Potatoes, Prunes and Pumpkin","
Ingredients
320g The Vegetarian Butcher What the Cluck Chunks ​(or other vegan chicken substitute)
400g New Potatoes, cut in half ​
250g Pumpkin/Butternut, diced ​
200g Onions, large dice ​
75g Prunes ​
20g Ginger, peeled and grated ​
500ml Water ​
1 Knorr Vegetable Bouillon cube ​
50ml Soy Sauce ​
1 Lemon ​
15g Brown Sugar ​
50g Mango chutney ​
1g Cracked black pepper ​
10g flat leaf Parsley ​
","
Preparation
Bring the water to the boil then add the soy sauce, mango chutney, lemon juice, brown sugar, black pepper, ginger and Knorr bouillon.​
Boil for 2-3 minutes until the sugar has melted then remove and set aside.​
Mix the pumpkin, onions, potatoes and prunes together then pour out into a deep oven tray.​
Pour over the sauce then cover and bake for 45 minutes @ 180C.​
Remove the tray from the oven and add in the NoChicken Chunks and stir through.​
Return to the oven, cover and bake for 10 minutes then remove and allow to rest for 5 minutes.​
Stir through the chopped parsley, adjust the seasoning and serve.
",Chicken
Beer Battered Chicken Bites,"
Ingredients

1/2 cup of chicken-style pieces
1 1/2 cup plain flour
1tsp baking powder
1 x 375ml of chilled vegan beer/lager (I used Coors Light but as long as it is vegan feel free to choose your personal favourite)
1/2tsp each of salt
pepper
onion powder and garlic powder
2tsp dried mixed herbs
Around 400ml of oil for frying but the exact amount depends on the size of your fryer.

","
Preparation

You’ll need to pre-heat the oil in your deep fryer.
If your chicken-style pieces are frozen then begin by defrosting them ready for use.


Method
Add together all of the dry ingredients – flour, baking powder and dried seasonings – and combine well.
Make a well in the centre of the dried ingredients and add the bottle of chilled beer. Stir well to combine until a smooth batter has formed.
You can drop a small amount of batter into the frying oil if you need to check to see if it is hot enough. The oil will sizzle and the batter begin to puff up if the oil is indeed hot enough.
Dip the chicken-style pieces into the batter and, once fully coated, drop carefully into the oil. You may need to do this in several batches if you have only a small fryer so be patient and be sure not to overcrowd the fryer because the batter needs enough room to properly cook.
Fry for 5 minutes or so, until crispy and golden in appearance, and then transfer to a paper towel in order to remove the oily residue.
Serve up as a side dish to any Chinese meal, with chips and ketchup or even as a snack on its own with sweet chilli sauce.
",Chicken
Hot Fried Maitake Chicken,"
Ingredients

1 lb / 450g Maitake Mushroom clusters
1 Cup / 250ml Oil for frying
3 Cups / 375g Panko breadcrumbs
3 Cups / 375g Crumbled BBQ potato chips
3 Cups / 375g Flour
1 Tbsp salt, coarse grind Sea Salt
1 Tbsp poultry seasoning
1 Tbsp black pepper, fine grind
3 Cups / 360ml Follow Your Heart Vegan Egg wash mixture
1/2 Cup / 120ml hot sauce

","
Preparation
Serves 4

Method

Heat cast iron skillet or heavy-duty saucepan to med heat. On 1/2 sheet pan lay out all mushrooms in whole clusters, drizzle and lightly dab 1 t of oil to the mushrooms. Apply a light coat in which the seasoning will stick to, sprinkle dry seasoning then add to heated cast iron pan and weigh down with additional cast iron pan, a brick wrapped in tin foil or heavier cover to create a press. Cook for 2 -3 minutes then flip over being careful not to tear the mushroom breasts. Sprinkle a bit more of seasoning and then press with pan again. Repeat this process several times until mushrooms are condensed and pressed into light golden brown pieces with no liquid in the pan.

NOTE: Depending on the mushrooms (cause they’re all different) some will leach more liquid than others. Don’t fret it might take a couple minutes longer to cook but the liquid will dissipate. After they are pressed and golden, remove mushrooms from heat and cool.

In medium-size bowl or container add pressed shrooms and Haute sauce to marinate for at least an hour or overnight.
In three separate bowls get the breading station ready.

Seasoned flour with a little salt and pepper
Make Vegan egg wash mixture by following directions on Follow Your Heart Vegan Egg
Make panko crumb crust by adding panko, BBQ potato chips, and seasoning to food processor and pulse until coarse grind consistency.


Lightly dredge each piece of shroom, first in flour to coat, then in vegan egg mixture, then in seasoned panko, so it’s fully coated.
In medium cast iron pan add oil so it’s between 1/4 & 1/2-inch deep and heat on medium heat, once hot begin to fry each piece for several minutes on each side until golden brown, when done let sit on newspaper or paper bag to catch excess oil.

NOTE: if you’re doing a big batch and allow to cool – pieces may be reheated before serving by assembling on a baking sheet and reheat in a 350-degree oven for 5 – 10 minutes until hot.
 
",Chicken
Vegan Fried Chicken,"
Ingredients

Homemade Seitan
For the coating – Flour:
1/2 tsp cayenne pepper
½ tsp dried marjoram
2 tsp garlic powder
2 tsp dried oregano
2 tsp dried sage
2 tbsp paprika
2 tbsp freshly ground black pepper
Kosher salt
1 cup all-purpose flour
1⁄4 cup corn starch
½ tsp baking powder
For the buttermilk:
1 cup vegan buttermilk (1 cup of soya milk and 1 tbsp apple cider vinegar, whisked together and left to sit for 5 – 10 mins)
1 tsp hot sauce
Pinch of salt
Oil for frying

","
Preparation
Make the seitan following the instructions below:

There are loads of recipes for seitan and I am working my way through them, learning as I go. For this recipe I tried one by Isa Chandra (Chicken Stylee Seitan, available on thePPK.com) and because it was a big batch I tried a couple of different ways of cooking it. I think either way would work and I would definitely try the boiled method for this recipe next time.


I followed the recipe by Isa Chandra up to the point of cooking. At that point, I separated the seitan dough in to two batches. With one, I followed the recipe, gentry cooking the seitan in stock. This was the most successful of my attempts so far. It is really, really important not to let it boil. I got all tech about it and dragged out the jam thermometer. I kept it between 94 and 98 degrees.


Anyway, for this particular version, I took the other half of the seitan and formed it in to small nuggets. Keep them on the small side because they will expand on cooking. I put them on an oiled baking tray and covered them with tin foil and baked for 20 – 30 mins at 180oC. Keep an eye on them, they are only small so it won’t take much to burn them. My thinking with this was that it keep them dry and therefore make the coating stick better.


If you have the time, the stock method would work too but you would want to leave them to drain for quite a while and get as much stock out of them as you can before trying to do the coating.


If you don’t fancy making your own seitan or you have your own preferred product or recipe, you could just use that. If you are still searching for that perfect recipe, give Isa’s recipe a go.


Method

You will need 2 bowls and a drying rack to complete all of the coating process and to also drain off the seitan once cooked.


Start off by making the vegan butter milk. Combine the ingredients and then let sit for 5 to 10 mins whilst you get all the ingredients for the flour together and mix them well in a bowl. By the time you have got them all sorted, your buttermilk should be good to go.


In your second bowl, mix the buttermilk with the hot sauce and salt. You are now ready to being the coating process.


Add the seitan to the buttermilk and let soak for 10 mins. One soaked, add the pieces a few at a time to the flour and coat well before putting on the drying rack and leaving for another 5 to 10 mins. You can use this time to get your oil heated up. You want it at 180oC. Be careful, don’t burn your house down or anything.


Once the seitan pieces have sat in the coating for 10 mins, we repeat the coating process. This helps more of the flour stick and also creates all sort of lumps, bumps and crevices which are going to make this really good. Straight in to the buttermilk, straight in to the flour and then in to the 180oC oil.


The most important tip I found was to leave the pieces along for at least 3 minutes otherwise you risk knocking the coating off. Overall mine took about 8 mins to get nice and golden. My pan was not big enough to cook the whole lot and yours probably won’t be either so I did a couple of batches and kept the first batch warm in a low oven. I chucked the first batch in the oil again for a minute at the end, just because.

",Chicken
Creamy Lemon Breaded Chicken,"
Ingredients
Serves 2
1 pack (180g) LikeMeat Breaded Chicken
Spaghetti (enough for 2 people)
1 medium onion, finely chopped
2 cloves of garlic, minced
A handful of peas (frozen works best)
250ml of vegan cream (or plant milk)
3 tbsp nutritional yeast
1/2 tsp English mustard
The juice and zest from one lemon
1 vegetable stock cube.
1/2 tsp smoked paprika
A generous pinch sea salt and a grind of black pepper
","
Method
1. Prepare the spaghetti in a saucepan and allow to cook while you’re making the sauce.
2. Heat 1 tbsp oil in a large frying pan on a medium heat.
3. Add the chopped onion and fry for 3-4 minutes to soften.
4. Add the garlic and stir in. Stir in the frozen peas and cook for a couple more minutes.
5. Pour in the cream with the onions plus lemon juice, zest, mustard, nutritional yeast, salt, pepper, stock cube and paprika.
6. Simmer for 2-3 minutes stirring occasionally.
7. In a separate pan fry the breaded chicken for 3 minutes each side.
8. Drain the cooked spaghetti (saving a little of the pasta water) and add the spaghetti to the lemon sauce.
9. Add a little of the pasta water to the sauce to thicken it. Coat the spaghetti in the sauce and pour into bowls.
10. Slice the breaded chicken into strips and place on top of the pasta.
11. Garnish with a dash of olive oil, parsley and lemon zest.
 
",Chicken
Chicken-style Skewers with Peanut Satay,"
Ingredients

½ box Fry’s Chicken-Style Strips
4 Tbsp peanut butter
½ tsp cumin powder
4 Tbsp soy sauce
2 Tbsp lemon juice
1 tsp garlic powder
½ tsp ginger powder
1 tsp turmeric
Sugar
Plant-based milk or water, as needed
Sliced scallions (or green onions), crushed peanuts and fresh coriander, for garnish
Skewers, for serving

","
Preparation

For the peanut satay, combine the peanut butter, cumin powder, soy sauce, lemon juice, garlic powder, ginger powder, turmeric and sugar in a bowl. Stir all ingredients together. Add a little bit of plant-based milk or water to thin out the mixture as needed.
In the Airfryer, air fry the Chicken-Style Strips for 6 minutes at 185°C*.
Combine Chicken-Style Strips and sauce in a dish, ensuring the strips are covered with by the sauce. For best results, marinade for an hour (or overnight) in an airtight container in the refrigerator.
Thread the Chicken-Style Strips onto skewers. Add the Chicken-Style Strips to the Airfryer and air fry for 2-3 minutes to reheat.
Sprinkle the skewers with fresh scallions, crushed peanuts and coriander, and serve with the remaining sauce on the side.

*Reduce cooking time if the Chicken-Style Strips have defrosted.
",Chicken
No-Chicken Coronation Sandwich,"
Ingredients

400g can of chickpeas [14oz]
4 tsp of mango chutney
2 tsp mild curry powder
1/2 juice of lime
2 tbsp fresh coriander leaves (finely chopped)
Dash of cinnamon

","
Method

In a blender, whizz drained chickpeas to a paste with the lime juice (you can also do this by hand with a fork or potato masher).
Transfer to a bowl. Mix curry powder in, followed by mango chutney and cinnamon. Work with a fork so everything is well blended.
Mix chopped coriander leaves to the paste. Adjust seasoning if needed.
Spread on your favourite bread.

 
",Chicken
Vegan ‘Chicken’ Salad,"


Ingredients



Scale
1x2x3x 




3 cups cooked or 2 cans (15 oz) chickpeas (garbanzo beans), drained and rinsed
1 cup celery, diced
1/2 cup organic dried cranberries (chopped fresh would be great too)
1/2 cup walnuts or pecans, roughly chopped
1/2 cup scallions (green onions), thinly sliced, white & green parts
mineral salt & freshly ground pepper, to taste (I used about 1/2 teaspoon each)

Dressing

6 tablespoons (1/3 cup) tahini or vegan mayo
4 tablespoons (1/4 cup) champagne, white wine or cider vinegar (I used Orange Muscat Champagne Vinegar)
2 tablespoons water (as needed if using tahini)
1 tablespoon pure maple syrup

To serve

leafy lettuce of choice
bread of choice


","

Instructions


Dressing: Start by mixing your dressing. In a small bowl combine tahini/mayo, vinegar, water and maple syrup. Set aside so the flavors come together. This can be made a day or two ahead and stored in the refrigerator until ready to use. Add a tad more water, or vinegar if you’re a vinegar lover, to thin out dressing as desired. If using vegan mayo, you may like to add 2 more tablespoons.
Mash chickpeas: In a medium to large bowl, add your garbanzo beans and roughly mash with a strong fork or potato masher. Mash at least 3/4 of the chickpeas so it binds well.
Assemble: Add in celery, cranberries, nuts, scallions, salt, pepper and dressing, mix well. Serve at room temp or let chill in the refrigerator for an hour before serving.
Serve: Serve on your favorite bread as a closed or open faced sandwich, or on a bed of leafy greens. You may even opt to simply enjoy the salad as is.
Serves 6
Store: Leftovers can be stored in the refrigerator for up to 5 – 6 days, in a covered container.

",Chicken
Sonoma Chickpea ‘Chicken’ Salad,"


Ingredients



Scale
1x2x3x 




2 cans (14 oz.) chickpeas, drained and rinsed or 3 cups cooked
1 1/2 cups of seedless grapes, sliced in half
1/2 heaping cup celery ribs, diced
1/2 – 2/3 cup pecans, roughly chopped

Creamy Poppy Seed Dressing

4 tablespoons tahini (1/4 cup) or vegan mayo
2 tablespoons apple cider vinegar
1 tablespoon pure maple syrup
2 teaspoons dijon
2 teaspoons poppy seeds
dash or two of garlic & onion powder
pinch of salt & pepper

to serve, optional

salad greens of choice
slices of your favorite bread
chopped chives, to garnish (not shown)


","

Instructions


Dressing: Place ingredients in a small bowl and mix to combine. Add a tablespoon or two of water as needed to thin. Set aside.
Un-mashed Salad: Add chickpeas, grapes, pecans, and celery to a medium-sized mixing/serving bowl. Top with dressing and mix to coat. Season with mineral salt and fresh cracked pepper to taste.
Mashed Salad (perfect for sandwiches): Add chickpeas to a medium-sized mixing bowl, roughly mash 2/3 – 3/4 of the chickpeas using the back of a fork or spoon. Add in the grapes, pecans, and celery, top with dressing and mix to combine. Season with mineral salt and fresh cracked pepper to taste.
Serve chilled or at room temperature.
Make sandwiches, wraps, or simply serve with leafy greens.
Serves 4 – 6
Store: Leftovers can be stored in an airtight container in the refrigerator for up to 5 days.

",Chicken
CURRIED CHICKPEA ‘CHICKEN’ SALAD SANDWICH,"


Ingredients



Scale
1x2x3x 




curried chickpea salad (recipe serves 4 – 6)
cilantro, leafy or micro greens, to serve
2 slices whole grain or artisan bread per sandwich or 1 pita, to serve


","

Instructions


Layer the bottom slice with the curried chickpea salad, top with cilantro sprigs, or just the leaves, and greens of choice. Add top slice to sandwich, cut in half or eat as is.
Alternatively, try using this salad to make lettuce wraps too.

",Chicken
Moroccan Ras El Hanout Couscous and Meatballs,"
Ingredients
Couscous
250 G Regular Couscous
250 G Giant Couscous
3 TBSP Ras El Hanout Spice Mix
200 G Pomgranate Seeds
Olive Oil
Pinch of Salt
Pepper
Handful Fresh Mint, chopped
Handful Fresh Parsley, chopped
Handful Fresh Dill
Meatballs
1 Pack Beyond Meatballs
1 Red Pepper, chopped
1 Courgette, chopped
1 Aubergine, chopped
1 TBSP Olive Oil
Salt
Pepper
Sauce
1 Jar Roasted Peppers
200 G Plain Vegan Yoghurt
1 TBSP Tahini
1 TSP Salt
1 TSP Peepper
2 TBSP Olive Oil
","
Method
1. In a large mixing bowl add the normal couscous together with 1 tbsp olive oil a pinch of salt 2 tbsp of ras el hanout spice mix and toss well. Now add boiling water just enough to cover the couscous, quickly cover the bowl with plastic wrap or a plate. After 8 minutes uncover and separate the couscous with a fork.
2. In a sauce pan add the giant couscous, toast it on low heat for a couple of minutes. Cover with water add one tbsp of ras el hanout spices a tsp salt and bring to boil. Once is boiling lower the flame and cook for about 10 minutes or until the couscous is tender, drain and combine with the normal couscous. Add the chopped herbs to the cous cous, toss well. Set aside.
3. In a skillet pan add 2 tbsp olive oil, when warm add the chopped vegetables and cook for 10-15 minutes. Finally add the meatballs and carry on cooking for 10-15 minutes until the meatballs are fully cooked.
4. To make the salsa add the drained pepper to a food processor together with the yogurt, tahini, salt, pepper and olive oil, blitz.
5. In a large serving dish spread the sauce evenly, add the couscous mix and finish with the meatballs and vegetables on top, scatter more fresh herbs and the pomegranate seeds. Enjoy!
",Meatballs
Tempeh Meatballs,"
Ingredients

4 tbsp olive oil
1 small white onion, finely chopped
2 garlic cloves, crushed
100g chestnut mushrooms, finely sliced
1 block of tempeh, 200g
3 tbsp of soy sauce
2 tbsp of nutritional yeast
Salt and pepper
1/2 cup of cooked brown rice
1/3 cup of oat flour

","
Preparation

Add 2 tbsp of the oil to a large frying pan, then add the chopped onion and garlic. Sauté on a medium heat for 5-8 minutes, until they start to caramelise.
Add the chopped mushrooms and cook for another 10 minutes, until they have shrunk in size and all the water has evaporated.
Crumble the Tiba Tempeh block, either using a knife or a food processor. You’re looking for a consistency that’s a bit like mince.
Add the tempeh “mince” to the pan along with the soy sauce and nutritional yeast or Marmite, if using. Cook for another 5 minutes, then season with salt and pepper.
Pour the mixture into a bowl and add the cooked brown rice and oat flour. Mix everything together until you have a fairly sticky mixture.
With wet hands, roll the mix into individual balls about the size of a golf ball. Repeat the process until you have used up all the mixture.
Heat up the remaining oil and fry the tempeh balls for a few minutes on each side, until slightly golden brown. You might need to cook them in batches.
Serve hot with your favourite tomato sauce and the pasta of your choice. Delicious.

",Meatballs
Mighty Meatballs,"
Ingredients
For the ‘meatballs’
1 x 400g tinned red kidney beans (drained and rinsed)
1/2 red onion roughly chopped
2 garlic cloves
35g oats
30g walnuts
4 tbsp nutritional yeast
1 tsp dried oregano
1/2 tsp salt
1/2 tsp pepper
Small handful of fresh basil
For the sauce
1/2 red onion sliced
1 carrot diced
120ml vegan red wine
120ml vegetable stock
300g Tideford Organics Tomato & Basil Sauce (or similar)
Oil for frying
","
Method

Preheat the oven to 200°C and line a baking tray with greaseproof paper unless you’re using a non stick tray.
Add the meatball ingredients to a food processor and process the ingredients together until the mixture reaches a rough consistency, ensuring some larger pieces remain. It’s really important you avoid processing the ingredients for too long, otherwise the meatballs will turn into a mush!
Take roughly a tbsp of the mixture in your hand and roll it into a ball, then place it on the baking tray. Repeat until all the mixture has been used up and you’re left with 12 balls.
Transfer the baking tray to the oven and bake the balls for 20 minutes.
Meanwhile, prepare the sauce by first adding a little oil to a frying pan on a medium heat. When the oil is hot, add the red onion and fry for 3 minutes. Then add the carrot and fry for a further 3 minutes, stirring occasionally.
Next, add the wine to the pan and simmer on a low heat for 5 minutes.
Then add the vegetable stock, sauce, and finally add the meatballs to the pan. Simmer for 10-12 minutes, or until the sauce has started to thicken.
Remove the pan from the hob and serve. We recommend serving with mashed potato and a sprinkle of basil. Enjoy!

Did you enjoy this dish? Check out more of our budget-friendly vegan recipes. 
",Meatballs
Vegan Meatballs with Apple Sauce,"
Ingredients
12 Heura® Meatballs (or your choice of vegan meatballs)

1 red apple 
1 lemon, juiced 
50 g raisins 
25 g pine nuts 
Parsley 
Chives 
2 tsp curry  powder
200 ml almond cream 
Oil 
Salt 
","
Method

Cut the apple into medium-sized cubes, dip them into the lemon juice and set aside.  
Place the raisins into a bowl of water to hydrate. 
Wash and chop the parsley and chives. Set aside. 
In a frying pan, brown the meatballs with a splash of oil. Once golden, remove from pan and set aside. 
In the same pan, fry the apple cubes and pine nuts until lightly browned. Add the raisins and their water and cook on high heat for 2 minutes.  
Add the meatballs and season with curry powder. Stir to mix and add the almond cream and salt. Simmer for 2-3 minutes. Garnish with the chopped parsley and chives.  

",Meatballs
