Meat,Vegan,ingredients,preparation,href
Stew,Vegan Feijoada,"
Ingredients
400g of black beans cooked in water with a bay leaf and chopped garlic (keep the cooking liquid)
4 cloves of garlic
2 medium sized onions
2-3 cups of mixed vegetables, we used courgettes, squash, carrots and tomatoes
200g of firm tofu (optional)
1 tbsp of smoked paprika
1 tbsp of vegan stock
For the vinaigrette:
4 tomatoes
Salt and pepper
Handful of herbs (such as parsley, basil, as you prefer)
Olive oil
Juice of 1 lime
1 red onion
For the Farofa:
200g Farofa flour (usually found in South America or West African supermarkets)
1 clove of garlic chopped finely
1 small onion chopped finely
To Garnish:
1 orange, cut into segments
1 spring onion
","
Method

Fry the onions and garlic in oil in a big pan for 1-2 minutes, stirring constantly, and then add the chopped vegetables.


After a couple of minutes, add the black beans still in their cooking liquid, stock, and paprika. Leave to cook for 10 minutes. Check the feijoada occasionally to make sure all the liquid hasn’t evaporated, and to give it a quick stir.


Add the tofu cubes if using, and cook for a further 5 minutes. Be careful not to stir too much at this point, otherwise the tofu cubes can break up.


While the tofu is cooking (in the feijoada) you can make the farofa. Put the onion and garlic in hot oil. When the onion and garlic are golden, add the farofa flour and cook for approximately 5 minutes, mixing all the time.


To serve put a few spoonfuls of feijoada on a plate, cover with finely chopped spring onions and the farofa. Serve with some of the vinaigrette and orange segments. Traditionally feijoada is also served with rice.

Did you enjoy this dish? Explore more of our vegan South American recipes?
",https://veganuary.com/recipes/vegan-feijoada/
Meatballs,Spaghetti and No Meatballs,"
Ingredients

1 pack Fry’s Asian Spiced Burger (or your favorite vegan burger), chopped into small cubes
3 sprigs of fresh rosemary. Remove the twigs and chop the leaves into fine pieces.
8 cream crackers (or your favorite crackers), smash into powder form in plastic bags
2 heaped teaspoons Dijon mustard
1 heaped teaspoon dried oregano
40ml (about 8 tsp) water
sea salt
freshly ground black pepper
olive oil
1 bunch fresh basil
1 medium onion, finely chopped
2 cloves garlic, finely chopped
½ fresh or dried red chilli, finely sliced (optional)
2×400 g (14 oz.) tinned (canned) chopped tomatoes
2 tablespoons balsamic vinegar
1 teaspoon brown sugar
400 g (14 oz.) dried spaghetti or penne
Vegan Parmesan cheese, for grating (optional)

","
Method

Add chopped rosemary and finely smashed cream crackers to a mixing bowl with the mustard, Fry’s burger cubes, and oregano.


Add water a good pinch of salt and pepper.


With clean hands scrunch and mix up well.

 

With wet hands, roll the mix into little meatballs – you should end up with 24-28 balls.

 

Drizzle them with olive oil and jiggle them about so they all get coated.

 

Put them on a plate, cover and place in the fridge until needed.


Heat a large frying pan on a medium heat and add some olive oil.

 

Add onion to the frying pan and stir for around 7 minutes or until softened and lightly golden.


Then add garlic and chilli (optional), and as soon as they start to get some colour add the basil leaves.

 

Add the tomatoes, balsamic vinegar and sugar.

 

Bring to the boil and season to taste.

 

Heat another large frying pan and add a lug of olive oil and your meatballs.

 

Stir them around and cook for 8–10 minutes until golden.


Add the meatballs to the sauce and simmer until the pasta is ready, then remove from the heat.

 

Add the pasta to the boiling water and cook according to the packet instructions.

 

Saving some of the cooking water, drain the pasta in a colander.

 

Return the pasta to the pan.

 

Spoon half the tomato sauce into the pasta, adding a little splash of your reserved water to loosen.

 

Serve on a large platter, or in separate bowls, with the rest of the sauce and meatballs on top.

 

Sprinkle over the small basil leaves and some grated Parmesan (optional).

",https://veganuary.com/recipes/spaghetti-and-no-meatballs/
Spaghetti,Spaghetti and No Meatballs,"
Ingredients

1 pack Fry’s Asian Spiced Burger (or your favorite vegan burger), chopped into small cubes
3 sprigs of fresh rosemary. Remove the twigs and chop the leaves into fine pieces.
8 cream crackers (or your favorite crackers), smash into powder form in plastic bags
2 heaped teaspoons Dijon mustard
1 heaped teaspoon dried oregano
40ml (about 8 tsp) water
sea salt
freshly ground black pepper
olive oil
1 bunch fresh basil
1 medium onion, finely chopped
2 cloves garlic, finely chopped
½ fresh or dried red chilli, finely sliced (optional)
2×400 g (14 oz.) tinned (canned) chopped tomatoes
2 tablespoons balsamic vinegar
1 teaspoon brown sugar
400 g (14 oz.) dried spaghetti or penne
Vegan Parmesan cheese, for grating (optional)

","
Method

Add chopped rosemary and finely smashed cream crackers to a mixing bowl with the mustard, Fry’s burger cubes, and oregano.


Add water a good pinch of salt and pepper.


With clean hands scrunch and mix up well.

 

With wet hands, roll the mix into little meatballs – you should end up with 24-28 balls.

 

Drizzle them with olive oil and jiggle them about so they all get coated.

 

Put them on a plate, cover and place in the fridge until needed.


Heat a large frying pan on a medium heat and add some olive oil.

 

Add onion to the frying pan and stir for around 7 minutes or until softened and lightly golden.


Then add garlic and chilli (optional), and as soon as they start to get some colour add the basil leaves.

 

Add the tomatoes, balsamic vinegar and sugar.

 

Bring to the boil and season to taste.

 

Heat another large frying pan and add a lug of olive oil and your meatballs.

 

Stir them around and cook for 8–10 minutes until golden.


Add the meatballs to the sauce and simmer until the pasta is ready, then remove from the heat.

 

Add the pasta to the boiling water and cook according to the packet instructions.

 

Saving some of the cooking water, drain the pasta in a colander.

 

Return the pasta to the pan.

 

Spoon half the tomato sauce into the pasta, adding a little splash of your reserved water to loosen.

 

Serve on a large platter, or in separate bowls, with the rest of the sauce and meatballs on top.

 

Sprinkle over the small basil leaves and some grated Parmesan (optional).

",https://veganuary.com/recipes/spaghetti-and-no-meatballs/
Chicken Fillets,Quorn Vegan Fillets & Szechuan Noodles,"
Ingredients

4 Quorn Vegan Fillets
1tsp sesame seeds
2 tsp Szechuan peppercorns, crushed
100g noodles
2 tbsp olive oil
1 large onion, finely sliced
1 red pepper, deseeded and finely sliced
4 tbsp soy sauce

","
Preparation

Toast the sesame seeds until golden brown over a medium high heat in a non stick frying pan then leave to one side
Heat one tablespoon of oil in a pan and add the chicken style fillets and Szechuan pepper. Cook for 10 minutes over a medium heat, turning frequently then set aside and keep warm. Fry the onion and pepper until soft
Meanwhile cook the noodles in boiling water as per pack instructions, drain and keep warm
In a separate pan, cook the green vegetables in boiling water for 5 minutes, drain and add to the onions and peppers with the noodles, soy sauce, coriander, sesame seeds
Serve the noodles topped with the sliced Quorn Meat Free Chicken Fillets

",https://veganuary.com/recipes/quorn-vegan-fillets-szechuan-noodles/
Fish Fingers,Vegan Fish Fingers,"
Ingredients

Step 1 ingredients:
Plenty of cooking oil
Sushi sheets
Step 2 ingredients:
250g extra firm tofu
150g artichoke hearts in oil
Juice of 1/2 lemon
Step 3 ingredients:
80g chickpea flour
5 tbsp nutritional yeast
(2 tbsp olive oil)
1 1/2 tsp salt
1 tsp garlic powder
Step 4 ingredients:
Breadcrumbs (e.g. gluten-free ones)
Optional ingredients:
Lemons
Peas
Ketchup
vegan Mayo
Potatoes salad
Chips

","
Method
Step 1:
Pour cooking oil into a pan and add 1 pack of sushi nori sheets to infuse the oil. The longer you leave them in the better: e.g. you could soak them in the morning and then cook the vegan fish fingers in the evening for a more intense taste. Alternatively, if you don’t have much time heat them up a bit for 5 minutes so they give up more flavour. Make sure the heat isn’t too high because they burn easily.
Step 2:
Place ingredients of step 2 into a food processor until you get a semi-smooth mixture.
Step 3:
Transfer the mixture into a large bowl and add all other ingredients from this step and mix. Make sure there are no chickpea flour lumps, otherwise the fish fingers might taste bitter.
Form fish finger shapes. Alternatively, just form sausage shapes. Admittedly it was a bit of work to make rectangular shapes and when they were fried they lost their shape a bit anyway. So if you want to make your life easier, roll them into a sausage shape, it won’t make a difference in terms of taste. They will be quite soft at this stage, but don’ worry they will firm up when fried.
Step 4:
Add breadcrumbs to a bowl and roll the vegan fish fingers in them until they are covered on all sides.
Take the sushi sheets out of the pan with cooking oil and heat up the pan. Fry the fish fingers in the pan until they are golden brown. Place on a kitchen towel to soak up the excess oil.
Optionally drizzle some lemon juice on top when serving the fish fingers. Have cooked peas, chips or potato salad and ketchup or vegan mayo on the side. Enjoy!
Did you enjoy this dish? Explore more vegan seafood recipes.
",https://veganuary.com/recipes/vegan-fish-fingers/
Spaghetti Bolognese,Spaghetti Bolognese by The Meatless Farm,"
Ingredients

2-3 tbsp olive oil
400g Meatless Farm mince
1 medium onion peeled and diced
2 garlic cloves, peeled & minced
1 tbsp tomato puree
400g of tinned chopped tomatoes
3 tbsp of vegan Worcestershire sauce
1 bunch basil
1 cup of vegan style parmesan or hard cheese
200g of fresh or dried spaghetti
Salt
Black pepper

","
Preparation

Heat a saucepan over a medium heat with 2-3 tablespoons of oil and add the onion and garlic. Cook without colouring for a few minutes, then add The Meatless Farm Co mince and season with salt and pepper.
Cook The Meatless Farm Co mince until its browned all over, then stir in the tomato purée, followed by the tinned tomatoes and season to taste. Bring to a boil then let simmer for around 10 minutes – add a splash of water or vegetable stock if it is looking a bit dry.
Meanwhile, bring a large pan of seasoned water to the boil and add the pasta. Stir to stop the pasta from sticking and cook for 7–10 minutes. When it is fully cooked, drain in a colander and drizzle with a little olive oil to prevent the spaghetti from sticking together.
Serve and enjoy!

",https://veganuary.com/recipes/spaghetti-bolognese-by-the-meatless-farm-co/
Pie,Cottage Pie Cobbler,"
Ingredients

 ·        2 tsp olive oil
·         1 red onion
·         6 cloves garlic
·         250g chestnut mushrooms
·         1 small carrot
·         15g fresh rosemary, leaves picked
·         ½ tsp dried chilli flakes
·         1 tsp each smoked paprika, ground cinnamon and coriander seeds
·         2 tbsp pumpkin seeds
·         125ml red wine
·         2 tbsp red wine vinegar
·         1 tbsp tamari/soy sauce (or a handful of olives)
·         2 tbsp tomato purée
·         1 tin chopped tomatoes (400g) plus ¼ tin water
·         1 tin puy lentils (400g / drained weight 240g), rinsed
·         250g spinach
·         600g potatoes (I like to use Rooster potatoes)
·         To season: black pepper, nutritional yeast

","
Preparation
Serves 4.
Preheat the oven to 220°C / 425°F / Gas Mark 7.
I use an enamel cast-iron casserole dish for this recipe, however you could just as easily prepare the sauce in a pan on the hob and transfer to an oven dish for baking.
Puy lentils also go by the name of ‘Lentilles Vertes’ and can be found tinned, dried or vacuum packed in most supermarkets.

Method

Place a heavy-based casserole dish on the hob and heat the oil on a moderate to high heat. Chop the onion, garlic, mushrooms, carrot and rosemary leaves and add these to the oil, stirring.


Leave to sauté for 5 minutes, or until the onions soften.


Stir in the chilli flakes, smoked paprika, cinnamon, coriander seeds and pumpkin seeds, followed by the red wine, vinegar, tamari, tomato purée, chopped tomatoes and water. Simmer for 10 minutes.


While this is bubbling away, slice the potatoes as thinly as you can.


Now add the lentils, spinach and black pepper to the sauce and give it a good stir. Remove from the heat and arrange the potato slices to cover the dish in any pattern you like. If you are using nutritional yeast, sprinkle onto the potato topping.


Cover the dish and cook in the oven for 20 minutes.


Remove the lid and return to the oven for a further 20 minutes. The potatoes should be cooked through and nicely crisp.


Serve with lovely steamed greens or a fresh salad.

",https://veganuary.com/recipes/puy-lentil-shepherds-pie/
Wings,Buffalo Wings n Waffles,"
Ingredients
8 Quorn Buffalo Wings
For Buffalo Sauce:
100ml – Franks Red Hot
60g Plant Butter
1 Tbsp White Vinegar
1 Tsp Cayenne Pepper
1 Tsp Vegan Worcester Sauce
1 Tsp Garlic Powder
For Ranch:
100ml vegan mayo
1-2 Tbsp non-dairy milk
1/2 teaspoon apple cider vinegar
1 cloves garlic – crushed
1/2 teaspoon dried dill
½ teaspoon onion powder
¼ teaspoon paprika
1/4 teaspoon pepper
salt – to taste
For the Waffles:
375g unsweetened plant milk
2 teaspoons apple cider vinegar
240g plain purpose flour
1 tablespoon baking powder
1/2 teaspoon sea salt
1 tablespoon brown sugar or maple syrup
2 Tbsp melted vegan butter
1/2 teaspoon vanilla extract
Spring Onions
","
Method
1. In a medium saucepan add the hot sauce, butter, white vinegar, vegan Worcestershire
2. Add sauce, cayenne, and garlic and bring to a boil.
3. Reduce to a simmer for 6 minutes and cool.
4. To make ranch combine all ingredients and put to one side.
5. To make waffles mix the plant milk, vanilla extract and ACV together in a small bowl and set aside for about 5 minutes to make the vegan buttermilk.
6. In a large bowl add the flour, baking powder and salt before adding the sugar, melted butter, buttermilk mixture.
7. Pre-heat your waffle maker to instructions and add enough mixture to just cover and cook until steam stops. Keep warm in a low oven
8. Cook Quorn Buffalo wings as per instructions and toss in buffalo sauce as soon as ready
9. Stack the waffles with ranch sauce, Quorn Buffalo wings and sprinkle with spring onions
",https://veganuary.com/recipes/buffalo-wings-n-waffles/
Sausage,Tofu Chorizo and Lemon Cauliflower Rice,"
Ingredients

For the tofu:
400g tofu, well pressed for at least thirty minutes
2tsp paprika
2tsp smoked paprika
1tbsp olive oil
1tbsp tamari (or soy sauce, for non gluten-free)
1tbsp red wine vinegar
¼tsp ground cumin
¼tsp ground coriander
¼tsp chilli powder
For the rice:
1 small or half a large cauliflower, cut into large florets
220g cooked chickpeas
100g mange tout, top and tailed, cut in half
100g asparagus, cut into pieces
2 cloves garlic, crushed
50g kalamata olives
1 lemon, cut into two
Black pepper, to taste
1tbsp olive oil for cooking

","
Preparation
Serves 4.

Method

Cut the tofu into cubes. Mix all of the remaining tofu ingredients together in a large bowl to create the marinade. Add the tofu to this bowl, mix well to ensure it is full coated. Set aside to marinate whilst you prepare the cauliflower rice and chop the vegetables.


Add the cauliflower to a food processor and blend to create rice-sized grains (do not over-blend or it will be too small to have any texture).


Add one tablespoon of olive oil to a large frying pan. Heat over a medium-high heat.


Once the oil is hot, add the tofu to the pan. Fry for around ten to twelve minutes, turning frequently, until it has begun to crisp around the edges.


Add the chickpeas, mange tout, asparagus, and garlic to the pan with the tofu. Cook for three minutes, then add the cauliflower grains, olives, the juice of half a lemon, and black pepper.


Stirring frequently, cook for around 4-5 minutes until the cauliflower is tender but firm.


Cut the remaining half lemon into slices.


Serve with a slice of lemon on each portion.

",https://veganuary.com/recipes/tofu-chorizo-and-lemon-cauliflower-rice/
Lasagne,Easy Creamy Buffalo Sage Pumpkin Lasagne,"
Ingredients

Serves 6:
For the Pumpkin Purée:
1.5 kg pumpkin or squash, unpeeled
1/2 cup fresh sage leaves
1/2 tsp sea salt
1/4 tsp ground black pepper
1 cup unsweetened non dairy milk (I prefer soya or almond)
For the Buffalo Tomato Sauce:
1 medium onion
2 cloves of garlic
1 tsp sea salt
1/2 tsp ground black pepper
2 cans of chopped tomatoes in juice
1/4 cup vegan buffalo sauce (like Frank’s Red Hot)
1 tsp dried thyme
For the Creamy Cashew White Sauce:
1/2 cup soaked raw cashews
6 tablespoons soya flour (or plain flour or gf flour)
1 tsp mustard powder
1/2 tsp ground nutmeg
1/4 cup nutritional yeast
1 clove of garlic
1 tsp sea salt
1/2 tsp ground black pepper
2 cups unsweetened non dairy milk (I prefer soya or almond)
For the lasagne:
4 tomatoes
1 x 500g box dried lasagne sheets
Sea salt and cracked black pepper

","
Preparation
Serves six

Method

Preheat the oven to 200’C.
Cut the unpeeled pumpkin or squash into wedges and de-seed, place on a baking tray and roast for 20-30 minutes or until the squash is soft and golden.
Leave to cool enough to handle and carefully peel away the skin and place the flesh into the jug of a blender.
Add the sage, salt, pepper and half the milk.
Blend, adding the remaining milk as necessary to get a smooth purée. Pour into a bowl, cover and set aside. Do not clean out the blender jug.
Add all of the tomato sauce ingredients into the jug and blend until well combined and almost smooth. Transfer to a saucepan and wash out the blender jug.
Blend together the white sauce ingredients until perfectly smooth, transfer to a saucepan.
Bring both the tomato and white sauce to a boil, whisking the white sauce all the time until thickened enough to coat the back of a spoon.
Assemble the lasagne, take a large baking dish approx 15 x 10 inches and place about a quarter of the tomato sauce on the base, topped with a quarter of the lasagne sheets.
Top with more tomato sauce, some pumpkin purée then more lasagne sheets, then white sauce and repeat until all is used up, ending with white sauce.
Place slices of tomato over the top, sprinkle with salt and pepper then transfer to the oven and bake for 30-45 minutes until the pasta is al dente and the top is golden and bubbling.
Leave to cool for about ten minutes before slicing and serving.

",https://veganuary.com/recipes/easy-creamy-buffalo-sage-pumpkin-lasagne/
Stew,Seitan-Cashew Blanquette,"
Ingredients

200 g gourmet seitan [UK 7 oz.]
200 g white mushrooms [UK 7 oz.]
1 small yellow onion
1 medium carrot
1½ Tbsp olive oil
250 ml water [UK 1½ cup]
50 ml dry white wine [UK ¼ cup]
100 ml plain soy cream [UK ½ cup ]
Half a vegetable bouillon cube, or 1 teaspoon bouillon powder 
1 Tbsp soy sauce
1 tsp garam masala or ½ tsp nutmeg or allspice
1½ Tbsp cashew butter
Salt and pepper to taste

","
Preparation

Cut the seitan into bite-size strips, slice the mushrooms, dice the onion and chop the carrot into rounds. Heat the olive oil in a cast-iron stockpot (a sauté pan with high sides or a large saucepan will also do) over medium heat and sauté these ingredients, stirring often.
Once the onions begin to brown, add the water, white wine, soy cream, bouillon, soy sauce, and spice. Cook for about 15 minutes over medium-low heat (just below simmering), stirring occasionally.
Taste and add salt and pepper if desired. Remove from heat and incorporate the cashew butter to make the sauce creamier. Serve with rice or quinoa.

Recipe translated from French by Elisabeth Lyman
",https://veganuary.com/recipes/seitan-cashew-blanquette/
Chicken Tikka Masala,Chickpea and Sweet Potato Tikka Masala with Green Rice,"
Ingredients
2 handfuls of baby spinach
1 green chilli, finely chopped
1 small white onion, finely chopped
Freshly chopped coriander plus extra for garnish
1 tbsp vegetable oil
140g basmati rice
1 vegetable stock cube or 200ml fresh vegetable stock
1 pot of Tideford Organics Vegan Tikka Masala (or similar)
1 can chickpeas, drained
1 sweet potato, peeled and diced into 1cm chunks
3 tbsp of soya yoghurt
","
Method

Place the basmati rice in a pan of water and add the vegetable stock. Add seasoning if required. Bring to the boil and simmer until tender.
Meanwhile, place the Tikka sauce, chickpeas and sweet potato in a pan + bring to a simmer. Bubble gently for 10-15 minutes.
Drain the rice and keep warm.
Heat the sunflower oil in a frying pan and add the spinach, chilli, onion and coriander.
Fry until the onion is starting to brown slightly, then add the rice and turn off the heat. Stir in the vegetable gently so that the rice doesn’t break up.
Serve topped with the Tikka sauce and dress with the soya yoghurt and a little coriander.

If you enjoyed making this recipe, why not browse more of our favourite vegan curry recipes?
",https://veganuary.com/recipes/tideford-organics-chickpea-and-sweet-potato-tikka-masala-with-green-rice/
Pork,Braised Eggplant with OmniMeat,"
Ingredients
OmniMeat – 1/2 pack (120g)
Eggplant (Sliced) – 1 pc
Shallots (Chopped) – 1 tsp
Ginger (Diced) – 1 tsp
Chinese Celery (Diced) – As appropriate
Oil – 205ml
Water – 100ml
 
Marinade Sauce:
Light Soy Sauce – 1 1/2 tsp
Vegan Fish Sauce – 1 1/2 tsp
Salt – 1/4 tsp
Sugar – 1 tsp
Ginger Juice – 1 tsp
Sesame Oil – 1/3 tsp
Ground White Pepper – Pinch
 
Seasonings:
Chili Bean Sauce – 2 tsps
Sugar – Pinch
 
","
Preparation

Defrost OmniMeat, mix well with marinade sauce. 
Heat the pan and add 200ml oil, then deep fry the eggplant over medium heat for about 1 minute, drain and set aside. 
Heat the pan and add 1 tsp oil, then stir fry chopped shallots and ginger over medium heat until aromatic. Then, add OmniMeat and stir well. 
Add chili bean sauce and stir fry over high heat for 1 minute. 
Add the eggplant and pour 100ml water into the pan, then cook for 3 minutes. 
Add Chinese celery and season with sugar and done! 

",https://veganuary.com/recipes/braised-eggplant-omnimeat/
Chicken,Beer Battered Chicken Bites,"
Ingredients

1/2 cup of chicken-style pieces
1 1/2 cup plain flour
1tsp baking powder
1 x 375ml of chilled vegan beer/lager (I used Coors Light but as long as it is vegan feel free to choose your personal favourite)
1/2tsp each of salt
pepper
onion powder and garlic powder
2tsp dried mixed herbs
Around 400ml of oil for frying but the exact amount depends on the size of your fryer.

","
Preparation

You’ll need to pre-heat the oil in your deep fryer.
If your chicken-style pieces are frozen then begin by defrosting them ready for use.


Method
Add together all of the dry ingredients – flour, baking powder and dried seasonings – and combine well.
Make a well in the centre of the dried ingredients and add the bottle of chilled beer. Stir well to combine until a smooth batter has formed.
You can drop a small amount of batter into the frying oil if you need to check to see if it is hot enough. The oil will sizzle and the batter begin to puff up if the oil is indeed hot enough.
Dip the chicken-style pieces into the batter and, once fully coated, drop carefully into the oil. You may need to do this in several batches if you have only a small fryer so be patient and be sure not to overcrowd the fryer because the batter needs enough room to properly cook.
Fry for 5 minutes or so, until crispy and golden in appearance, and then transfer to a paper towel in order to remove the oily residue.
Serve up as a side dish to any Chinese meal, with chips and ketchup or even as a snack on its own with sweet chilli sauce.
",https://veganuary.com/recipes/beer-battered-chickn-bites/
Burger,Grilled Lentil Burgers,"
Ingredients

1 cup brown lentils (rinsed and cooked in filtered water until soft for 25 minutes)
2 cloves garlic, crushed
1 large onion, finely diced
1 large carrot finely grated 
2 stalks celery finely diced
1 heaped tsp sweet dried marjoram
1 heaped tsp dried ginger powder 
2 tbsp shoyu or tamari (natural soy sauce)
3 to 4 tbsp whole wheat flour

","
Method
Preheat the grill to medium/hot. Mix all the ingredients together in a large bowl. Add the flour and fold until you achieve a consistency that glues the ingredients together adding a little more flour if required.
Using your hands make the burgers with two tbsp of the mixture.  Place the burgers on a foil lined grill tray and grill for 15 minutes, turning halfway through. Serve with some toasted sourdough crusty bread spread with vegan mayonnaise. Top with your favourite chutney, sliced avocado, cucumber, tomatoes and some fresh greens.
If you enjoy a smoked taste add 1 tsp of smoked paprika to the mixture.
Alternatively; fry the burgers in a heavy based frying pan and use organic sunflower oil.
 
",https://veganuary.com/recipes/grilled-lentil-burgers/
Tacos,Southern Fried Goujon Tacos,"
Ingredients
1 pack Better Naked Southern Fried Goujons
8 small tortillas
2 x little gem lettuce
2 x avocado
1 x garlic clove
2 x shallot
1 x red chilli
30g coriander
4 x tomatoes
1 x jalapeno chilli
2 x Lime + extra for serving
Better Naked Southern Fried Mayo
Better Chilli Sauce
","
Method
1. Bake Better Naked Southern Fried Goujons in the oven per pack instructions.
2. Guacamole: Halve and carefully stone the avocados, spoon flesh out into a bowl and mash with a fork. Peel 1 shallot and finely chop it then crush garlic and add both to the bowl. Add juice of one lime, deseed and fine chop red chill, chop 10g of coriander, mix all together and check seasoning.
3. Pico de Gallo: quarter the tomatoes, deseed and dice, then chop jalapeno, peel and fine dice shallot. Mix well and check seasoning.
4. Chop gem lettuce. Warm tortillas in the microwave or a dry pan then keep in a tea towel to retain their heat.
5. Build taco: On each tortilla, spread a spoonful of guacamole and a spoonful of Pico de Gallo, next sprinkle gem lettuce, followed by two goujons, smother with Better Naked Southern Fried Mayo and finish with Better Naked Chilli Sauce (sauces available at Tesco from 11th April).
",https://veganuary.com/recipes/southern-fried-goujon-tacos/
BBQ Pulled Pork,Club Mexicana’s BBQ Pulled Jackfruit,"
Ingredients

2 jalapeños, finely chopped
2 tbsp vegetable oil
6 cloves garlic, finely chopped
1 tbsp chilli powder
2 tsp cumin
0.5 tsp cayenne
500ml ketchup
125ml (1/2 cup) lime juice (more if you like it tangy)
1 cup dark brown sugar
4 tins (cans) of jackfruit in brine
2 tbsp vegetable oil
1 tbsp dijon mustard

","
Method

Fry the garlic & jalapeños in oil for a minute. Add all the spices, stir and cook until fragrant (a minute or so). Add ketchup, lime and brown sugar. Stir until all the sugar has melted. Partially cover and keep cooking on a low heat until sauce has thickened to the consistency of ketchup.


Drain and thoroughly rinse the tinned jackfruit. Use your hands to tear the strands of jackfruit from the harder core. The fruit will come apart very easily. Put the pulled jackfruit into a bowl and put the cores into another bowl. Once everything has been pulled apart use a knife to finely chop the harder cores. It doesn’t matter if these are still a bit chunky once chopped as it adds more texture to the dish.


Heat oil in pan and add the pulled jackfruit. Cook until it gets a bit grey and loses some moisture. Add the dijon mustard and stir in. Add a little water if it starts to stick to the pan.


Add about half the BBQ sauce (more if you want a very sticky dish) and stir in to coat. Cook until it’s almost starting to get a little crispy and sticking to the pan a little.


Spoon on top of warm corn tacos and top with cos lettuce, guacamole, sour cream, a squeeze of fresh lime and a sprinkle of coriander.

",https://veganuary.com/recipes/club-mexicanas-bbq-pulled-jackfruit/
Cheese,Non-Dairy Gorgonzola,"
Ingredients

½ block (7 oz) extra-firm water-packed tofu (not silken tofu)
¼ cup organic refined coconut oil (not virgin coconut oil)
2 tbsp mellow white miso paste
4 tsp white wine or champagne vinegar
2 tsp fresh lemon juice
1 tsp fine sea salt or kosher salt
½ tsp onion powder
¼ tsp garlic powder
⅛ tsp blue-green algae powder (spirulina)

","
Preparation

For this cheese you will need a glass, ceramic, metal or BPA-free plastic container which will hold a minimum of 1 and ½ cup liquid; this will act as the form to shape the cheese. This recipe yields about 8 ounces.


Method
Line the form with plastic wrap or a double-layer of cheesecloth, being sure to leave some excess hanging over the sides. This will help lift the cheese from the form after firming.
Drain and press the tofu until it is not releasing any more liquid. It is essential to dry the tofu as much as possible for the proper texture. Crumble the tofu into a food processor.
Remove the metal lid from the jar of coconut oil and place the jar in a microwave. Heat just until the solid oil liquefies, about 30 seconds to 1 minute (this will depend upon the solidity of the coconut oil). Alternately, place the jar in about an inch of simmering water and melt the oil in the same manner. Measure ¼ cup and add to the food processor with the remaining ingredients except for the algae powder. Process the contents until very smooth.
Transfer the cheese mixture to a bowl. Dot the cheese in several spots with the algae powder and fold (rather than stir) the cheese over a few times to create swirls of blue-green color. Transfer the cheese to the lined form. Pack the mixture with the back of a spoon and smooth the surface as best you can. Cover with plastic wrap and refrigerate for a minimum of 8 hours. This will ensure that the coconut oil has completely solidified.
Lift the cheese from the container and slice or crumble as needed. Store the cheese wrapped in plastic wrap or in a zip-lock bag in the refrigerator. Because this cheese is made with miso, a fermented product, the flavor will continue to develop as it ages. Try aging the cheese for a minimum of one week before using for the best flavor.
 
Like this recipe? Sign up to Veganuary today to get recipes like this delivered directly to your inbox.
",https://veganuary.com/recipes/non-dairy-gorgonzola/
Hot Dog,Vegan Hot Dog with Sauerkraut & Pickles and Fried Onions,"
Ingredients
1 pack Garden Gourmet Sensational Sausages or another plant-based equivalent
100 g of sauerkraut
2 pickles
1 red onion
few leaves of lettuce
Vegan mustard
2 pieces of vegan baguette, or vegan bread of your choice
","
Method

If you want you can cook the sauerkraut for about 15 minutes so that it becomes softer, but uncooked sauerkraut is also very tasty and crispy!
Cut the onion into half rings and stir fry in a little oil until lightly browned. Cut the pickles and wash the lettuce.
Heat the grill pan or BBQ and grill the sausages in approx. 8 minutes until brown and cooked.
Cut the baguette in half and grill the inside in the grill pan or BBQ, cover with mustard and put leaves of lettuce on it. Eventually add the sausage.

",https://veganuary.com/recipes/vegan-hot-dog-sauerkraut-pickles-fried-onions/
